analyte,ucmr3_mrl_ng_l,ucmr3_records,ucmr5_records,ucmr5_detected_at_own_mrl,ucmr5_at_or_above_ucmr3_mrl,ucmr5_indeterminate_at_ucmr3_mrl
PFBS,90.00,421,732,17,0,0
PFHpA,10.00,421,733,5,0,0
PFHxS,30.00,421,732,16,1,0
PFNA,20.00,421,733,0,0,0
PFOA,20.00,421,733,7,0,0
PFOS,40.00,421,732,26,0,0
