"tract_geoid","state_fips","state_name","pfoa_average","pfoa_observation_count","station_count","total_population","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"06001409000","06","California","4100","2","2","4204","95.5518553758325","4.44814462416746","25.2854424357755","0","7.56422454804948","0.404376784015224","0.903901046622265","1.42721217887726","59.9666983824929","75987"
"06001437101","06","California","88","2","2","7371","88.617555284222","11.382444715778","3.82580382580383","0","54.0767874101207","3.03893637226971","0.447700447700448","4.8297381630715","22.3985890652557","156462"
"06001450742","06","California","37","2","2","5241","51.9938942949819","48.0061057050181","0.763213127265789","0","37.3211219232971","0","0","5.2470902499523","8.66246899446671","153900"
"06001451103","06","California","3","2","2","1354","31.5361890694239","68.4638109305761","2.36336779911374","1.18168389955687","6.20384047267356","1.99409158050222","0","2.65878877400295","17.1344165435746","250001"
"06001451104","06","California","295","4","4","6474","54.8038307074452","45.1961692925548","6.62650602409639","0.216249613839975","23.8029039233859","0.216249613839975","0.47883843064566","5.18999073215941","18.2730923694779","183846"
"06007002200","06","California","1100","2","2","2248","11.8772241992883","88.1227758007118","0.400355871886121","0","0.48932384341637","0.934163701067616","0","4.40391459074733","5.64946619217082","94167"
"06009000124","06","California","32","2","2","2119","22.2746578574799","77.7253421425201","0.424728645587541","0","0","0.188768286927796","0","6.08777725342143","15.5733836715432","98068"
"06013313204","06","California","3","2","2","5604","79.7109207708779","20.2890792291221","9.36830835117773","0","12.4018558172734","0.178443968593862","0","6.51320485367595","51.249107780157","91600"
"06013315000","06","California","2100","2","2","3511","70.5781828538878","29.4218171461122","8.94332099117061","0","20.9057248647109","0","0.284819139846198","1.56650526915409","38.877812589006","138875"
"06013318000","06","California","489","2","2","3514","30.0796812749004","69.9203187250996","1.22367672168469","0","3.89869095048378","0","0","9.04951622083096","15.907797381901","101947"
