PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,Contaminant,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFUnA,0.002,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,NEtFOSAA,0.005,µg/L,EPA 537.1,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFTA,0.008,µg/L,EPA 537.1,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFHxS,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFNA,0.004,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFOS,0.004,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFOA,0.004,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFDA,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,6:2 FTS,0.005,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,4:2 FTS,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,8:2 FTS,0.005,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFBS,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,NMeFOSAA,0.006,µg/L,EPA 537.1,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFHxA,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFTrDA,0.007,µg/L,EPA 537.1,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,11Cl-PF3OUdS,0.005,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,9Cl-PF3ONS,0.002,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,ADONA,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,HFPO-DA,0.005,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFBA,0.005,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFMPA,0.004,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFPeA,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFMBA,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFEESA,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,NFDHA,0.02,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFPeS,0.004,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFHpS,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFDoA,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,lithium,9,µg/L,EPA 200.7,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,2/28/2023,101641P,PFHpA,0.003,µg/L,EPA 533,<,,SE1,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFMBA,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,HFPO-DA,0.005,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFBA,0.005,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,6:2 FTS,0.005,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,4:2 FTS,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
