PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,Contaminant,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,8:2 FTS,0.005,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,9Cl-PF3ONS,0.002,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFPeA,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,11Cl-PF3OUdS,0.005,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFEESA,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,NFDHA,0.02,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFPeS,0.004,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFHpS,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,lithium,9,µg/L,EPA 200.7,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFMPA,0.004,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFNA,0.004,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFHpA,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFHxS,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,NMeFOSAA,0.006,µg/L,EPA 537.1,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,NEtFOSAA,0.005,µg/L,EPA 537.1,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,ADONA,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFTA,0.008,µg/L,EPA 537.1,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFBS,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFOS,0.004,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFOA,0.004,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFDA,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFDoA,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFHxA,0.003,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFUnA,0.002,µg/L,EPA 533,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,5/9/2023,104158P,PFTrDA,0.007,µg/L,EPA 537.1,<,,SE2,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFBS,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,NFDHA,0.02,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,6:2 FTS,0.005,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,lithium,9,µg/L,EPA 200.7,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,NMeFOSAA,0.006,µg/L,EPA 537.1,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,NEtFOSAA,0.005,µg/L,EPA 537.1,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFTrDA,0.007,µg/L,EPA 537.1,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFTA,0.008,µg/L,EPA 537.1,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFHpS,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFPeS,0.004,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFHpA,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFEESA,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFPeA,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFMPA,0.004,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFMBA,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,4:2 FTS,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFHxS,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFBA,0.005,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,HFPO-DA,0.005,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,ADONA,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,9Cl-PF3ONS,0.002,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,11Cl-PF3OUdS,0.005,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFUnA,0.002,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFHxA,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFDoA,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFDA,0.003,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFOA,0.004,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFOS,0.004,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,8:2 FTS,0.005,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,8/23/2023,107021P,PFNA,0.004,µg/L,EPA 533,<,,SE3,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,6:2 FTS,0.005,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFBS,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFHpA,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFHxS,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFNA,0.004,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFOS,0.004,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFOA,0.004,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFDA,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFDoA,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFUnA,0.002,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,9Cl-PF3ONS,0.002,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,ADONA,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,lithium,9,µg/L,EPA 200.7,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFBA,0.005,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFHxA,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,4:2 FTS,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,8:2 FTS,0.005,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFMPA,0.004,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFPeA,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFMBA,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFEESA,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,NFDHA,0.02,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFPeS,0.004,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFHpS,0.003,µg/L,EPA 533,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFTA,0.008,µg/L,EPA 537.1,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,PFTrDA,0.007,µg/L,EPA 537.1,<,,SE4,AM,10,OR,
OR4100003,ADAIR VILLAGE WATER SYSTEM,S,10001,Treatment Plant,SW,EP1,EP at Treatment Plant (EP-A),EP,,,12/5/2023,109891P,NEtFOSAA,0.005,µg/L,EPA 537.1,<,,SE4,AM,10,OR,
