Site code	Site type	Sample date (yyyymmdd)	11Cl-PF3OUDS	4:2FTS	6:2FTS	8:2FTS	9Cl-PF3ONS	FBSA	FHx-SA	FOSA	GenX	NaDONA	N-EtFOSAA linear	N-EtFOSA-M	N-MeFOSAA linear	N-MeFOSA-M	PFBA	PFBS	PFDA	PFDoA	PFDS	PFHpA	PFHpS	PFHxA	PFHxS Branched	PFHxS Linear	PFNA	PFNS	PFOA	PFOS Branched	PFOS Linear	PFPeA	PFPeS	PFTeDA	PFTrDA	PFUnDA
KY_10_Pub	Public supply	20211116	<19.0	<4.7	<19.2	<9.7	<18.8	<50.5	<50.5	<5.1	<20.2	<1.9	<7.8	<5.1	<7.7	<10.1	<20.2	2.2	<10.1	<10.1	<19.5	<10.1	<9.6	<20.2	<34.9	<7.5	<10.1	<19.4	<5.1	<19.8	<7.4	2.6	<9.5	<10.1	<10.1	<10.1
KY_11_Pub	Public supply	20211214	<4.8	<1.9	<9.6	<4.9	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<10.1	<7.7	<20.2	<10.1	<4.5	<2.0	<5.1	<9.8	<10.1	<4.8	<10.1	<8.8	<1.5	<2.0	<9.7	E3.9	<19.8	<3.7	<2.0	<4.8	<5.1	<5.1	<5.1
KY_3_Pub	Public supply	20211108	<47.6	<9.5	<19.2	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<10.1	<15.4	<20.2	<101	<9.0	<5.1	<10.1	<19.5	<10.1	<9.6	<20.2	<17.5	<7.5	<10.1	<19.4	<5.1	<19.8	<7.4	<5.1	<4.8	<20.2	<10.1	<10.1
KY_4_Pub	Public supply	20211020	<9.5	<1.9	<9.6	<4.9	<18.8	<50.5	<50.5	<10.1	<10.1	<1.9	<15.7	<10.1	<7.7	<10.1	<5.1	<4.5	<2.0	<10.1	<4.9	<10.1	<9.6	<10.1	<17.5	<3.7	<2.0	<4.9	<2.0	<39.6	<14.8	<5.1	<9.5	<5.1	<10.1	<5.1
KY_5_Pub	Public supply	20211117	<4.8	<4.7	<9.6	<4.9	<18.8	<50.5	<20.2	<5.1	<5.1	<1.9	<3.9	<10.1	<3.8	<10.1	<5.1	4.8	<2.0	<5.1	<9.8	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	E2.0	<39.6	<3.7	<2.0	<1.9	<5.1	<5.1	<2.0
KY_6_Pub	Public supply	20211122	<4.8	<4.7	<9.6	<4.9	<18.8	<50.5	<20.2	<5.1	<5.1	<1.9	<3.9	<10.1	<3.8	<10.1	<5.1	4.0	<2.0	<5.1	<9.8	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	E1.8	<39.6	<3.7	<2.3	<1.9	<5.1	<5.1	<2.0
KY_7_Pub	Public supply	20211130	<4.8	<4.7	<9.6	<4.9	<18.8	<50.5	<20.2	<5.1	<5.1	<1.9	<3.9	<10.1	<3.8	<10.1	<5.1	2.1	<2.0	<5.1	<9.8	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<3.7	<2.0	<1.9	<5.1	<5.1	<2.0
KY_7_Pub dup	Public supply	20211130	<4.8	<4.7	<9.6	<4.9	<18.8	<50.5	<20.2	<5.1	<5.1	<1.9	<3.9	<10.1	<3.8	<10.1	65.6	2.1	<2.0	<5.1	<9.8	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<3.7	<2.2	<1.9	<5.1	<5.1	<2.0
KY_8_Pub	Public supply	20211115	<19.0	<4.7	<19.2	<9.7	<18.8	<50.5	<50.5	<5.1	<20.2	<1.9	<7.8	<5.1	<7.7	<10.1	<20.2	<4.5	<10.1	<10.1	<19.5	<10.1	<9.6	<20.2	<34.9	<7.5	<10.1	<19.4	<5.1	<19.8	<7.4	<5.1	<9.5	<10.1	<10.1	<10.1
KY_9_Pub	Public supply	20211109	<47.6	<9.5	<19.2	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<10.1	<15.4	<20.2	<101	<9.0	<5.1	<10.1	<19.5	<10.1	<9.6	<20.2	<17.5	<7.5	<10.1	<19.4	<5.1	<19.8	<7.4	<5.1	<4.8	<20.2	<10.1	<10.1
