"station_id","tract_geoid","state_fips","state_name","county_fips","tract_code","site_name","industry","matrix","sample_year","longitude","latitude","pfoa","pfos","total_pfas","reported_pfas_level","total_population","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"24","06077005502","06","California","077","005502","Lawrence Livermore National Laboratories Site 300","Industry","Groundwater","2018","-121.492739","37.641891","3",,"46","46","5279","4526","85.7359348361432","14.2640651638568","3.67493843530972","0","57.7192650123129","1.17446486076909","0","4.07274104944118","19.0945254783103","197083"
"25","06037267600","06","California","037","267600","Hudson Element La","Industry","Groundwater","2018","-118.457811","34.033648","19","2","66","66","2767","1647","59.5229490422841","40.4770509577159","0.93964582580412","0","25.9848211058909","0.505963136971449","2.6743765811348","6.64980122876762","22.7683411637152","89286"
"26","06065043822","06","California","065","043822","Lamb Canyon Landfill","Landfill","Groundwater","2018","-116.994893","33.881629",,,"82","82","3607","2361","65.4560576656501","34.5439423343499","0","0","16.9115608538952","0","0","2.8278347657333","45.7166620460216","136319"
"27","06095250801","06","California","095","250801","Former Naval Shipyard Mare Island","Military","Groundwater","2018","-122.264394","38.0933","124","78",,"124","4762","3441","72.2595548089038","27.7404451910962","19.8446031079378","0","13.6077278454431","0","0.608987820243595","5.45989080218396","32.7383452330953","113933"
"28","06059075518","06","California","059","075518","Marine Corps Air Station Tustin","Military","Groundwater","2016","-117.823927","33.702939",,,,"770000","11153","9290","83.2959741773514","16.7040258226486","3.55061418452434","0.134492961535013","53.6626916524702","0","0","4.82381422038913","21.1243611584327","150565"
"29","06111004305","06","California","111","004305","Naval Construction Battalion Center Port Hueneme","Military","Groundwater","2016","-119.200163","34.16816",,,,"1080000","2193","1059","48.2900136798906","51.7099863201094","8.25353397172823","0","5.47195622435021","0","0","12.266301869585","22.2982216142271","67083"
"30","06029005300","06","California","029","005300","Naval Air Weapons Station China Lake","Military","Groundwater","2016","-117.657437","35.655171",,,,"8000000","2416","1282","53.0629139072848","46.9370860927152","13.7003311258278","0","4.22185430463576","0.869205298013245","0.538079470198676","5.38079470198675","28.3526490066225","58261"
"31","06001450102","06","California","001","450102","Camp Parks","Military","Drinking Water","2017","-121.908691","37.715403",,,"19","19","8425","6550","77.7448071216617","22.2551928783383","6.46884272997033","0.629080118694362","47.513353115727","0.237388724035608","0","5.47181008902077","17.4243323442136","239250"
"32","06071980100","06","California","071","980100","Norton Air Force Base","Military","Groundwater","2017","-117.250846","34.103463","22","19",,"22","3","3","100","0","66.6666666666667","0","0","0","0","0","33.3333333333333",
"33","06037187102","06","California","037","187102","Pollock Remediation Project","Unknown","Groundwater","2017","-118.251","34.11007","12","14","36","36","4615","3841","83.228602383532","16.771397616468","1.23510292524377","0","26.5655471289274","0","0","4.7670639219935","50.6608884073673","91944"
"34","06059074403","06","California","059","074403","Orange County Water District - South Basin","Industry","Groundwater","2017","-117.851622","33.719938","61","3","66","66","4987","4973","99.7192701022659","0.280729897734109","0.701824744335272","0","2.68698616402647","0","0","0","96.3304591939041","70096"
"35","06071002709","06","California","071","002709","ROCKETS, FIREWORKS, AND FLARES SITE","Industry","Groundwater","2017","-117.416567","34.153683",,"78","78","78","7815","6214","79.5137555982086","20.4862444017914","7.93346129238644","0","13.320537428023","0.204734484964811","0.153550863723608","5.70697376839411","52.1944977607166","150194"
"36","06035040600","06","California","035","040600","Sierra Army Depot","Military","Drinking Water","2017","-120.127869","40.146072","33",,"221","221","3640","1704","46.8131868131868","53.1868131868132","8.51648351648352","3.76373626373626","1.86813186813187","0.0549450549450549","0","4.17582417582418","28.4340659340659","46659"
"37","06067007301","06","California","067","007301","McClellan Air Force Base","Military","Groundwater","2017","-121.390048","38.673338",,,,"348","5450","3576","65.6146788990826","34.3853211009174","9.15596330275229","0.275229357798165","9.43119266055046","0","0","10.5871559633028","36.1651376146789","54122"
"38","06059021832","06","California","059","021832","Olinda Alpha Landfill","Landfill","Groundwater","2017","-117.841761","33.932943",,,"360","360","6741","4733","70.212134698116","29.787865301884","2.00267022696929","0","48.7168075953123","0","1.14226375908619","3.66414478564011","14.6862483311081","214491"
"39","06059052430","06","California","059","052430","Bowerman Landfill","Landfill","Groundwater","2017","-117.709872","33.708882",,,"420","420","17078","11673","68.3510949759925","31.6489050240075","0.567982199320764","0","42.259046726783","0.146387164773393","1.48143810750673","9.86649490572667","14.029745871882","184668"
"40","06065042007","06","California","065","042007","El Sobrante Landfill","Landfill","Groundwater","2017","-117.476232","33.797719","610","40","1449","1449","7605","4255","55.9500328731098","44.0499671268902","5.65417488494412","0","6.92965154503616","0","9.62524654832347","3.69493754109139","30.0460223537147","144219"
"41","06037207400","06","California","037","207400","Tujunga Remediation Project","WWTP","Groundwater","2018","-118.250499","34.056915","4",,"8","8","2598","1930","74.2879137798306","25.7120862201694","15.6274056966898","0.384911470361817","22.4403387220939","0","0","4.81139337952271","31.0238645111624","78482"
"42","06019003104","06","California","019","003104","Fresno Air National Guard Base","Military","Groundwater","2018","-119.712675","36.765303","170",,"6470","6470","4775","3561","74.5759162303665","25.4240837696335","4.73298429319372","0.43979057591623","19.5392670157068","0","0","4.87958115183246","44.9842931937173","58438"
"43","06073009400","06","California","073","009400","West Miramar Landfill","Landfill","Groundwater","2018","-117.150114","32.842598","950","59","10634","10634","4394","2553","58.1019572143832","41.8980427856168","16.0901228948566","0.864815657715066","3.25443786982249","0.318616294947656","0.227583067819754","6.16750113791534","31.1788802913063","89893"
"44","06083980200","06","California","083","980200","Vandenberg Air Force Base","Military","Surface Water","2018","-120.57244","34.742027","8200","150000","159300","159300","3452","1554","45.0173812282735","54.9826187717265","8.74855156431054","1.18771726535342","5.01158748551564","0.608342989571263","0","11.7902665121669","17.6709154113557","83929"
"45","06065042401","06","California","065","042401","Badlands Landfill","Landfill","Groundwater","2018","-117.121431","33.950269","25",,"142","142","2056","1298","63.1322957198444","36.8677042801556","0.486381322957198","0.389105058365759","2.77237354085603","0","0.14591439688716","3.55058365758755","55.7879377431907","107500"
"46","06059110015","06","California","059","110015","Joint Force Training Base-Los Alamitos","Military","Drinking Water","2018","-118.054509","33.796711","118","282","982","982","3468","1351","38.9561707035755","61.0438292964245","1.3840830449827","2.04728950403691","11.8223760092272","0","0","1.87427912341407","21.8281430219146","129840"
