"station_id","tract_geoid","state_fips","state_name","county_fips","tract_code","site_name","industry","matrix","sample_year","longitude","latitude","pfoa","pfos","total_pfas","reported_pfas_level","total_population","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"147","06037404402","06","California","037","404402","Brothers Plating","Industry","Soil","2020","-117.934732","34.116863","11000","3200000","3743600","3743600","4673","4382","93.772736999786","6.227263000214","0.641985876310721","0","9.69398673229189","0","4.85769313075112","1.02717740209715","77.5518938583351","96616"
"148","06083980000","06","California","083","980000","Santa Barbara Airport","Airport","Groundwater","2020","-119.839884","34.427194","79000","383000","8770829","8770829","0","0",,,,,,,,,,
"149","06059099502","06","California","059","099502","Seal Beach CA WPNSUPFAC","Military","Drinking Water","2021","-118.064189","33.750466","3","5",,"5","584","305","52.2260273972603","47.7739726027397","14.2123287671233","0","5.82191780821918","0","0","6.50684931506849","25.6849315068493","96364"
"150","06037301601","06","California","037","301601","San Fernando Valley (Area 2)","Industry","Groundwater","2021","-118.286","34.163139","3","3",,"6","5513","1507","27.3353890803555","72.6646109196445","0.725557772537638","0","5.53237801559949","0","0","0.852530382731725","20.2249229094867","54469"
"151","06037187102","06","California","037","187102","San Fernando Valley (Area 4)","Industry","Groundwater","2021","-118.2539","34.112081","15","8",,"23","4615","3841","83.228602383532","16.771397616468","1.23510292524377","0","26.5655471289274","0","0","4.7670639219935","50.6608884073673","91944"
"152","06073017112","06","California","073","017112","San Marcos II Sanitary Landfill","Landfill","Groundwater","2019","-117.194309","33.085911","7600","3300","37950","37950","2319","913","39.370418283743","60.629581716257","0.646830530401035","0.517464424320828","14.4890038809832","0","0.86244070720138","7.58947822337214","15.2652005174644","250001"
"153","06013327001","06","California","013","327001","Buchanan Field","Airport","Groundwater","2019","-122.06039","37.98924","3920",,"91100","91100","3572","2062","57.7267637178051","42.2732362821949","7.86674132138858","0.167973124300112","1.23180291153415","0","0.0559910414333707","2.32362821948488","46.0806270996641","102675"
"154","06037980028","06","California","037","980028","Los Angeles International Airport","Airport","Groundwater","2019","-118.40853","33.941589","31000","2800","129452","129452","0","0",,,,,,,,,,
"155","06059062610","06","California","059","062610","John Wayne Airport","Airport","Groundwater","2019","-117.869113","33.676187","13800","1830","145121","145121","13289","6605","49.7027616825946","50.2972383174054","3.31853412596885","0","30.709609451426","0.301000827752276","1.97155542177741","4.83858830611784","8.56347354955226","114347"
"156","06013358000","06","California","013","358000","Shore Terminals Llc Selby Terminal","Industry","Groundwater","2019","-122.248","38.04826","2800","48000","229440","229440","5818","4347","74.7163973874184","25.2836026125816","17.8239944998281","0.120316259883121","12.3066345823307","0","1.90787212100378","3.970436576143","38.5871433482296","80255"
"157","06001409000","06","California","001","409000","Metropolitan Oakland International Airport","Airport","Groundwater","2019","-122.219743","37.712569","4100","170000","283685","283685","4204","4017","95.5518553758325","4.44814462416746","25.2854424357755","0","7.56422454804948","0.404376784015224","0.903901046622265","1.42721217887726","59.9666983824929","75987"
"158","06067007101","06","California","067","007101","Sacramento International Airport","Airport","Groundwater","2019","-121.590065","38.695085","9200","72000","320400","320400","1355","890","65.6826568265683","34.3173431734317","2.28782287822878","0","39.3357933579336","5.53505535055351","0","3.24723247232472","15.2767527675277","192938"
"159","06067001601","06","California","067","001601","Elvas Quarry Landfill","Landfill","Groundwater","2019","-121.43105","38.56053","9200","72000","320400","320400","3199","1080","33.7605501719287","66.2394498280713","1.56298843388559","0","5.15786183182244","0","0","5.37668021256643","21.6630196936543","121250"
"160","06073006200","06","California","073","006200","San Diego International Airport","Airport","Groundwater","2019","-117.187991","32.738456","59700","5960","426304","426304","28","22","78.5714285714286","21.4285714285714","25","53.5714285714286","0","0","0","0","0",
"161","06037980001","06","California","037","980001","Bob Hope","Airport","Soil","2019","-118.35395","34.19666","17000",,"669800","669800","0","0",,,,,,,,,,
"162","06065045618","06","California","065","045618","Oasis Class III Waste Management Facility","Landfill","Soil","2019","-116.079959","33.440392","6300","510000","23058440","23058440","1747","1726","98.7979393245564","1.20206067544362","0.114481969089868","0.801373783629078","2.23239839725243","0","0","1.43102461362335","94.2186605609617","34777"
"163","06049000300","06","California","049","000300","Alturas Class III Landfill","Landfill","Groundwater","2020","-120.568728","41.458858",,,"1","1","2886","554","19.1961191961192","80.8038808038808","0.415800415800416","0.831600831600832","5.02425502425502","0","0","3.74220374220374","9.18225918225918","61696"
"164","06049000400","06","California","049","000400","Cedarville West Solid Waste Disposal Service (Old)","Landfill","Groundwater","2020","-120.052745","41.540194",,,"1","1","1096","240","21.8978102189781","78.1021897810219","0.638686131386861","7.48175182481752","1.0036496350365","0","0","3.1021897810219","9.67153284671533","53493"
"165","06051000101","06","California","051","000101","Chalfant Class III Landfill","Landfill","Groundwater","2020","-118.357649","37.530218",,,"2","2","3532","880","24.9150622876557","75.0849377123443","0","2.74631936579841","0","0","0.962627406568516","3.65232163080408","17.5537938844847","112721"
"166","06077004704","06","California","077","004704","Harney Lane Class III Landfill","Landfill","Groundwater","2020","-121.100573","38.097901",,,"3","3","5575","2264","40.609865470852","59.390134529148","1.04035874439462","0","4.66367713004484","0.322869955156951","0.825112107623318","5.99103139013453","27.7668161434978","125692"
"167","06111004715","06","California","111","004715","Oxnard Advanced Water Purification Facility","WWTP","Groundwater","2020","-119.18395","34.14505",,"1","4","4","4239","3542","83.5574427931116","16.4425572068884","0.377447511205473","0","6.53456003774475","1.3446567586695","0.518990327907525","3.16112290634584","71.6206652512385","85517"
"168","06019003900","06","California","019","003900","American Avenue Municipal Solid Waste Landfill","Landfill","Groundwater","2020","-120.130199","36.661985",,,"4","4","4437","3539","79.7610998422358","20.2389001577643","0.0225377507324769","0","0.766283524904215","0.856434527834122","0","1.03673653369394","77.079107505071","51719"
"169","06111000304","06","California","111","000304","Toland Road Landfill","Landfill","Groundwater","2020","-118.996654","34.403378",,"8","11","11","4492","3517","78.2947462154942","21.7052537845058","0.133570792520036","0","0.712377560106857","0","0","0.422974176313446","77.0258236865539","66471"
"170","06077004704","06","California","077","004704","North Co Sanitary Landfill","Landfill","Groundwater","2020","-121.100484","38.09795",,,"11","11","5575","2264","40.609865470852","59.390134529148","1.04035874439462","0","4.66367713004484","0.322869955156951","0.825112107623318","5.99103139013453","27.7668161434978","125692"
"171","06037980013","06","California","037","980013","Edward C. Little Water Reclamation Plant - West Coast Basin Barrier Project - Expansion Phase III","WWTP","Groundwater","2020","-118.392175","33.909366","4","8","12","12","0","0",,,,,,,,,,
"172","06093001003","06","California","093","001003","Black Butte Class III Landfill","Landfill","Groundwater","2020","-122.343244","41.34973","2",,"14","14","4549","1002","22.0268190811167","77.9731809188833","1.5827654429545","0","2.15431963068806","2.87975379204221","0","7.49615300065949","7.91382721477248","54846"
"173","06079010303","06","California","079","010303","Paso Robles Solid Waste Site","Landfill","Groundwater","2020","-120.533792","35.66305",,,"15","15","3109","1259","40.4953361209392","59.5046638790608","1.57606947571566","0","5.62881955612737","0","0.611128980379543","1.92988099067224","30.7494371180444","101120"
"174","06051000102","06","California","051","000102","Walker Sanitary Landfill","Landfill","Groundwater","2020","-119.456736","38.553963","1",,"20","20","2402","979","40.7577019150708","59.2422980849292","0.374687760199833","1.1240632805995","1.79017485428809","0","0.0416319733555371","2.12323064113239","35.3039134054954","105091"
"175","06103000400","06","California","103","000400","Red Bluff Class III Landfill","Landfill","Groundwater","2020","-122.300502","40.197091","2",,"21","21","5705","1161","20.3505696757231","79.6494303242769","0.0876424189307625","0","1.71779141104294","0","1.05170902716915","5.78439964943032","11.7090271691499","103438"
"176","06037460401","06","California","037","460401","JET PROPULSION LABORATORY (NASA)","Industry","Groundwater","2020","-118.167434","34.201185",,,"32","32","1061","798","75.2120640904807","24.7879359095193","32.0452403393025","0","13.3836003770028","0","0.471253534401508","6.0320452403393","23.2799245994345","125357"
"177","06093001200","06","California","093","001200","Mccloud Class III Landfill","Landfill","Groundwater","2020","-122.122393","41.246293","1","4","39","39","1096","226","20.6204379562044","79.3795620437956","0.638686131386861","1.45985401459854","0.821167883211679","0.547445255474453","0","10.036496350365","7.11678832116788","49926"
"178","06013320001","06","California","013","320001","Acme Fill Land Disposal","Landfill","Groundwater","2020","-122.080816","38.028017","5",,"40","40","3276","1673","51.0683760683761","48.9316239316239","7.17338217338217","0","2.5030525030525","0","0.641025641025641","12.2100122100122","28.5409035409035","98602"
"179","06013392201","06","California","013","392201","Pinole Point Business Park","Landfill","Groundwater","2020","-122.351863","37.998722","5","15","43","43","5257","4838","92.0296747194217","7.97032528057828","18.0140764694693","0.133155792276964","34.867795320525","0","2.70116035761841","4.41316340117938","31.9003233783527","118412"
"180","06037920200","06","California","037","920200","Peter Pitchess Landfill","Landfill","Groundwater","2020","-118.585804","34.462431","6","8","48","48","3604","3189","88.4850166481687","11.5149833518313","21.3928967813541","0","1.80355160932297","0.194228634850166","1.08213096559378","2.02552719200888","61.9866814650388",
"181","06051000102","06","California","051","000102","Bridgeport Class III Landfill","Landfill","Groundwater","2020","-119.218867","38.268896","6","1","52","52","2402","979","40.7577019150708","59.2422980849292","0.374687760199833","1.1240632805995","1.79017485428809","0","0.0416319733555371","2.12323064113239","35.3039134054954","105091"
"182","06013313204","06","California","013","313204","Keller Canyon Landfill","Landfill","Groundwater","2020","-121.934513","38.003989","3",,"67","67","5604","4467","79.7109207708779","20.2890792291221","9.36830835117773","0","12.4018558172734","0.178443968593862","0","6.51320485367595","51.249107780157","91600"
"183","06111008502","06","California","111","008502","Simi Valley Landfill","Landfill","Groundwater","2020","-118.796797","34.294665","2","1","73","73","3578","1497","41.8390162101733","58.1609837898267","0.838457238680827","0","6.98714365567356","0","1.62101732811627","14.8127445500279","17.5796534376747","143194"
"184","06047002100","06","California","047","002100","Billy Wright Solid Waste Landfill","Landfill","Groundwater","2020","-120.973636","37.040172","20",,"91","91","4059","3077","75.8068489775807","24.1931510224193","0","0","3.69549150036955","0","0.5420054200542","3.17812269031781","68.3912293668391","83214"
"185","06085513500","06","California","085","513500","Kirby Canyon Landfill","Landfill","Groundwater","2020","-121.678857","37.184113","5","5","99","99","1009","361","35.7779980178394","64.2220019821605","0.495540138751239","0","8.02775024777007","0","0.991080277502478","0.594648166501487","25.6689791873142","102750"
"186","06047002500","06","California","047","002500","Highway 59 Solid Waste Landfill","Landfill","Groundwater","2020","-120.499975","37.390138","5",,"114","114","2470","1367","55.3441295546559","44.6558704453441","0.769230769230769","0","5.62753036437247","0","0.526315789473684","3.19838056680162","45.2226720647773","107900"
"187","06037650401","06","California","037","650401","Former Amp-Matrix Science Facility","Industry","Groundwater","2020","-118.341202","33.844988","2",,"148","148","4360","2765","63.4174311926606","36.5825688073394","1.55963302752294","0","37.0642201834862","0","0","9.4954128440367","15.2981651376147","142566"
"188","06025011001","06","California","025","011001","Allied (Republic) Imperial Landfill","Landfill","Groundwater","2020","-115.526935","32.855368","36","2","162","162","6566","5961","90.7858665854401","9.21413341455985","1.02040816326531","0.258909533962839","1.0508681084374","0","0","0.106609808102345","88.3490709716722","86672"
"189","06025011001","06","California","025","011001","Imperial Landfill","Landfill","Groundwater","2020","-115.52682","32.85503","36","2","162","162","6566","5961","90.7858665854401","9.21413341455985","1.02040816326531","0.258909533962839","1.0508681084374","0","0","0.106609808102345","88.3490709716722","86672"
"190","06059086402","06","California","059","086402","Ocwd - North Basin","Superfund Site","Groundwater","2020","-117.882737","33.849194","32","72","169","169","6193","4895","79.0408525754885","20.9591474245115","2.1637332472146","0","12.3042144356532","0","0","2.84191829484902","61.7309865977717","133594"
"191","06061022014","06","California","061","022014","Eastern Regional Landfill","Landfill","Groundwater","2020","-120.214519","39.292717","44","3","241","241","1691","151","8.92962743938498","91.070372560615","2.48373743347132","0","0","0","0","1.12359550561798","5.32229450029568","141250"
"192","06067001900","06","California","067","001900","Chrome Craft Facility (Former)","Industry","Groundwater","2020","-121.479687","38.565934","9","2","244","244","3316","1281","38.6308805790109","61.3691194209891","3.49819059107358","0","6.96622436670688","0.211097708082027","1.17611580217129","3.07599517490953","23.7032569360676","90217"
"193","06049000400","06","California","049","000400","Fort Bidwell Solid Waste Disposal Service","Landfill","Groundwater","2020","-120.155129","41.877008","72","6","302","302","1096","240","21.8978102189781","78.1021897810219","0.638686131386861","7.48175182481752","1.0036496350365","0","0","3.1021897810219","9.67153284671533","53493"
"194","06055201900","06","California","055","201900","Clover Flat Landfill","Landfill","Groundwater","2020","-122.533882","38.585342","63",,"319","319","1457","700","48.0439258750858","51.9560741249142","3.01990391214825","0.205902539464653","1.23541523678792","0","0","6.1770761839396","37.4056280027454","134375"
"195","06087122300","06","California","087","122300","Buena Vista Class III Landfill","Landfill","Groundwater","2020","-121.811837","36.920496","82","19","398","398","3804","1603","42.1398527865405","57.8601472134595","0.0262881177707676","0","1.65615141955836","0","0.920084121976867","5.28391167192429","34.2534174553102","103929"
"196","06097152801","06","California","097","152801","Hewlett Packard Valley Site","Industry","Groundwater","2020","-122.739831","38.471964","47","48","418","418","4523","1978","43.7320362591201","56.2679637408799","1.2381162944948","0","3.00685385805881","0","1.63608224629671","7.16338713243422","30.6875967278355","100139"
"197","06067008602","06","California","067","008602","Kiefer Road- Class III Solid Waste Disposal Service","Landfill","Groundwater","2020","-121.194723","38.51467","87",,"441","441","1832","607","33.1331877729258","66.8668122270742","0","0","10.4257641921397","0","0","6.55021834061135","16.1572052401747","93038"
"198","06085511918","06","California","085","511918","Guadalupe Landfill","Landfill","Groundwater","2020","-121.903677","37.21696","29","2","454","454","3243","1968","60.6845513413506","39.3154486586494","0","0.215849522047487","34.6284304656183","0","0.709219858156028","6.8763490595128","18.254702436016","250001"
"199","06073003209","06","California","073","003209","Bell Jr High Landfill","Landfill","Groundwater","2020","-117.040034","32.688205","190",,"469","469","5436","4184","76.9683590875644","23.0316409124356","11.5158204562178","0","32.7814569536424","2.72259013980868","0.0183958793230316","9.98896247240618","19.9411331861663","85700"
"200","06023010400","06","California","023","010400","California Redwood Coast-Humboldt County","Airport","Groundwater","2020","-124.10755","40.97594","17",,"500","500","3828","891","23.2758620689655","76.7241379310345","0","3.18704284221526","2.37722048066876","0","0","11.2330198537095","6.478578892372","82317"
"201","06089010500","06","California","089","010500","City Of Redding Benton Class III Landfill","Landfill","Groundwater","2020","-122.410985","40.571324","190","49","801","801","5025","1176","23.4029850746269","76.5970149253731","0.378109452736318","1.11442786069652","1.13432835820896","0","0","5.21393034825871","15.5621890547264","52662"
"202","06069000802","06","California","069","000802","John Smith Road Class III Landfill","Landfill","Groundwater","2020","-121.326677","36.823737","110",,"913","913","4201","2016","47.9885741490121","52.0114258509879","0.357057843370626","0.0238038562247084","1.57105451083075","2.21375862889788","0.119019281123542","4.92739823851464","38.77648179005","143875"
"203","06079012302","06","California","079","012302","Cold Canyon Landfill Inc.","Landfill","Groundwater","2020","-120.598291","35.18723",,,"974","974","6526","2179","33.3895188476862","66.6104811523138","0","0","0.965369292062519","0","1.47103892123812","7.86086423536623","23.0922463990193","130875"
"204","06001451104","06","California","001","451104","Vasco Rd Sanitary Landfill","Landfill","Groundwater","2020","-121.724762","37.755392","190","91","1278","1278","6474","3548","54.8038307074452","45.1961692925548","6.62650602409639","0.216249613839975","23.8029039233859","0.216249613839975","0.47883843064566","5.18999073215941","18.2730923694779","183846"
"205","06001437101","06","California","001","437101","West Winton Landfill","Landfill","Groundwater","2020","-122.15258","37.642716","88","32","1343","1343","7371","6532","88.617555284222","11.382444715778","3.82580382580383","0","54.0767874101207","3.03893637226971","0.447700447700448","4.8297381630715","22.3985890652557","156462"
"206","06095253501","06","California","095","253501","Recology Hay Road (Formerly Norcal Waste-Hay Road Landfill;  Formerly B&J Landfill)","Landfill","Groundwater","2020","-121.83563","38.310463","384",,"1618","1618","6523","2926","44.8566610455312","55.1433389544688","9.06024835198528","0","6.8373447800092","0","0","1.76299248811896","27.1960754254178","81923"
"207","06071001600","06","California","071","001600","Ontario International Airport","Airport","Groundwater","2020","-117.60853","34.05189","48",,"1802","1802","4773","4666","97.7582233396187","2.24177666038131","0.900900900900901","0","0.43997485857951","0","0","1.44563167818982","94.9717159019485","65188"
"208","06065041415","06","California","065","041415","Corona Sanitary Landfill","Landfill","Groundwater","2020","-117.538623","33.863283","200","34","2072","2072","4210","3117","74.0380047505938","25.9619952494062","1.42517814726841","0","26.270783847981","0","0.190023752969121","1.09263657957245","45.0593824228028","144767"
"209","06051000101","06","California","051","000101","Mammoth Yosemite Airport","Airport","Groundwater","2020","-118.841805","37.627262","27","16","2352","2352","3532","880","24.9150622876557","75.0849377123443","0","2.74631936579841","0","0","0.962627406568516","3.65232163080408","17.5537938844847","112721"
"210","06071012101","06","California","071","012101","Victorville Class III Landfill","Landfill","Groundwater","2020","-117.262337","34.590503","160","3","2761","2761","7399","3520","47.5739964860116","52.4260035139884","12.3935666982025","0","6.4873631571834","0","1.41911069063387","5.28449790512231","21.9894580348696","77143"
"211","06013365002","06","California","013","365002","West Contra Costa Landfill","Landfill","Groundwater","2020","-122.381605","37.971166","1600","360","6042","6042","5114","4830","94.4466171294486","5.55338287055143","10.9112240907313","0","11.5369573719202","4.45834962847086","0","3.42197888150176","64.1181071568244","83587"
"212","06053014302","06","California","053","014302","Monterey Peninsula Class III Landfill","Landfill","Groundwater","2020","-121.77044","36.713798","1400",,"6176","6176","4200","2759","65.6904761904762","34.3095238095238","8.30952380952381","0","12.2857142857143","2.92857142857143","0.547619047619048","6.02380952380952","35.5952380952381","89420"
"213","06079011505","06","California","079","011505","San Luis County Regional Airport","Airport","Groundwater","2020","-120.642013","35.237564","290","610","8232","8232","5040","1624","32.2222222222222","67.7777777777778","2.87698412698413","0.138888888888889","3.92857142857143","0.515873015873016","0.674603174603175","5.1984126984127","18.8888888888889","117695"
"214","06089011502","06","California","089","011502","Redding Municipal Airport","Airport","Groundwater","2020","-122.29967","40.50581","820","5000","11201","11201","2641","343","12.9875047330557","87.0124952669443","0.0378644452858766","0","0","0","0","3.02915562287013","9.92048466489966","70078"
"215","06077004800","06","California","077","004800","Foothill Sanitary Landfill","Landfill","Groundwater","2020","-120.934634","38.035311","1100","56","12055","12055","5333","2336","43.8027376711044","56.1972623288956","1.89386836677292","0","1.38758672417026","0","0","2.34389649353085","38.1773860866304","103284"
"216","06013315000","06","California","013","315000","CONCORD NAVAL WEAPONS STATION","Military","Groundwater","2020","-122","38.049444","2100","11000","14400","14400","3511","2478","70.5781828538878","29.4218171461122","8.94332099117061","0","20.9057248647109","0","0.284819139846198","1.56650526915409","38.877812589006","138875"
"217","06053013300","06","California","053","013300","Monterey Regional Airport","Airport","Groundwater","2020","-121.85028","36.5873","12700","133","18204","18204","5751","3182","55.3295079116675","44.6704920883325","0.434707007476961","0","5.39036689271431","0","4.01669274908711","2.88645452964702","42.6012867327421","97188"
"218","06037300902","06","California","037","300902","Scholl Canyon Landfill","Landfill","Groundwater","2019","-118.195651","34.155856","220","75","4415","4415","2051","661","32.2281813749391","67.7718186250609","0.68259385665529","0","18.6250609458801","0","0","3.70550950755729","9.21501706484642","186250"
"219","06085504602","06","California","085","504602","Highway 237 Landfill","Landfill","Groundwater","2019","-121.980081","37.418038","530","38","4472","4472","1542","1261","81.7769130998703","18.2230869001297","2.14007782101167","0","18.5473411154345","0","0","2.72373540856031","58.3657587548638","121953"
"220","06029005509","06","California","029","005509","Ridgecrest/Inyokern Landfill","Landfill","Groundwater","2019","-117.739105","35.601765","7",,"7352","7352","4737","1524","32.1722609246358","67.8277390753641","4.13763985644923","0","4.45429596791218","0","2.57546970656534","8.76081908380832","12.2440363099008","100144"
"221","06007002200","06","California","007","002200","Neal Rd Class III Landfill","Landfill","Groundwater","2019","-121.730447","39.675815","1100","160","8817","8817","2248","267","11.8772241992883","88.1227758007118","0.400355871886121","0","0.48932384341637","0.934163701067616","0","4.40391459074733","5.64946619217082","94167"
"222","06031001703","06","California","031","001703","Avenal Solid Waste Disposal Service","Landfill","Groundwater","2019","-120.11648","36.008858","1700",,"8983","8983","4970","4813","96.841046277666","3.158953722334","0.724346076458752","0","1.20724346076459","0","0","0","94.9094567404426","60752"
"223","06065044403","06","California","065","044403","Anza Sanitary Landfill","Landfill","Groundwater","2019","-116.627925","33.538476","140",,"10075","10075","3799","2283","60.0947617794156","39.9052382205844","0.184259015530403","0.816004211634641","7.87049223479863","0","1.05290866017373","2.94814424848644","47.2229534087918","77768"
"224","06081984300","06","California","081","984300","San Francisco International Airport","Airport","Groundwater","2019","-122.378955","37.621313","226","1370","12070","12070","0","0",,,,,,,,,,
"225","06073020807","06","California","073","020807","Ramona Sanitary Landfill","Landfill","Groundwater","2019","-116.864005","33.083729","680","9","16486","16486","2950","1134","38.4406779661017","61.5593220338983","0.0677966101694915","0.372881355932203","2.50847457627119","0","2.10169491525424","6.06779661016949","27.3220338983051","128177"
"226","06085505100","06","California","085","505100","San Jose International Airport","Airport","Groundwater","2019","-121.928938","37.363947","585","2190","35053","35053","3993","3275","82.0185324317556","17.9814675682444","3.3809166040571","0","39.8196844477836","0","0","2.854996243426","35.9629351364889","115395"
"227","06037311100","06","California","037","311100","San Fernando Valley (Area 1)","Industry","Groundwater","2025","-118.3514","34.19","4","5",,"9","3923","1994","50.8284476166199","49.1715523833801","0.994137139943921","0","17.2317104256946","0","0","2.03925567167984","30.5633443793016","99806"
"228","06001451103","06","California","001","451103","Lawrence Livermore National Laboratory ","Industry","Groundwater",,"-121.70575","37.687252","3",,,"3","1354","427","31.5361890694239","68.4638109305761","2.36336779911374","1.18168389955687","6.20384047267356","1.99409158050222","0","2.65878877400295","17.1344165435746","250001"
"229","06111004715","06","California","111","004715","Channel Islands","Military","Soil","2021","-119.110471","34.13921","770","24000","25060","25060","4239","3542","83.5574427931116","16.4425572068884","0.377447511205473","0","6.53456003774475","1.3446567586695","0.518990327907525","3.16112290634584","71.6206652512385","85517"
"230","06099000405","06","California","099","000405","RIVERBANK ARMY AMMUNITION PLANT","Military","Groundwater","2022","-120.9181","37.71695","18","10","18","18","2682","1883","70.2087994034303","29.7912005965697","0.969425801640567","0","0.857568978374348","0.298284862043251","0","9.06040268456376","59.0231170768084","59779"
"231","06065044520","06","California","065","044520","Edom Hill Class III Waste Management Facility 01-141","Landfill","Groundwater","2019","-116.434748","33.882016","14",,"520","520","1099","556","50.5914467697907","49.4085532302093","1.63785259326661","0.181983621474067","1.00090991810737","0","0","2.27479526842584","45.4959053685168","84750"
"232","06053014108","06","California","053","014108","Fort Ord","Military","Groundwater","2019","-121.822393","36.656968","8","447",,"560","5200","2962","56.9615384615385","43.0384615384615","3.36538461538462","0","16.4807692307692","0","0.326923076923077","9.19230769230769","27.5961538461538","79931"
"233","06081613501","06","California","081","613501","Ox Mountain (Corinda Los Trancos) Landfill","Landfill","Groundwater","2019","-122.410995","37.491029","33","7","593","593","4379","2268","51.7926467229961","48.2073532770039","0.479561543731446","0","8.17538250742179","0.159853847910482","0","5.36652203699475","37.6113267869377","172869"
"234","06009000124","06","California","009","000124","Rock Creek Landfill","Landfill","Groundwater","2019","-120.841636","38.034788","32",,"598","598","2119","472","22.2746578574799","77.7253421425201","0.424728645587541","0","0","0.188768286927796","0","6.08777725342143","15.5733836715432","98068"
"235","06067005301","06","California","067","005301","Dellar Landfill","Landfill","Groundwater","2019","-121.46975","38.58505","120","87","606","606","2332","1211","51.9296740994854","48.0703259005146","12.9073756432247","0","9.51972555746141","0","0.257289879931389","12.3070325900515","16.9382504288165","94861"
"236","06085503105","06","California","085","503105","Story Road Landfill","Landfill","Groundwater","2019","-121.867023","37.328089","140","110","660","660","2012","1802","89.5626242544732","10.4373757455268","0.0497017892644135","0","62.0775347912525","0","0","1.04373757455268","26.3916500994036","61838"
"237","06089011600","06","California","089","011600","Buckeye Landfill","Landfill","Groundwater","2019","-122.39667","40.67","280","180","764","764","3525","664","18.8368794326241","81.1631205673759","0","0.99290780141844","4.17021276595745","0.226950354609929","0","2.0709219858156","11.3758865248227","75348"
"238","06073013506","06","California","073","013506","Jamacha Sanitary Landfill","Landfill","Groundwater","2019","-116.943629","32.732703","110","58","818","818","4331","2414","55.7377049180328","44.2622950819672","3.64811821750173","0","7.73493419533595","0.484876471946433","2.00877395520665","4.5255137381667","37.3354883398753","111304"
"239","06035040100","06","California","035","040100","Bieber Class III Landfill","Landfill","Groundwater","2019","-121.141229","41.130473","420",,"986","986","1289","315","24.4375484871994","75.5624515128006","3.10318076027929","2.87044220325834","3.41349883630721","0","0","2.48254460822343","12.5678820791311","43239"
"240","06087120200","06","California","087","120200","Santa Cruz Class III Landfill","Landfill","Groundwater","2019","-122.1058","36.9768","110","110","1002","1002","4237","1467","34.6235544016993","65.3764455983007","0.519235308000944","0","3.89426481000708","0","3.25702147746047","6.23082369601133","20.7222091102195","133750"
"241","06073013317","06","California","073","013317","Otay Annex Sanitary Landfill","Landfill","Groundwater","2019","-117.012185","32.601708","95","8","1074","1074","18047","15507","85.9256386102953","14.0743613897047","6.49969524020613","0","32.9583864354186","0","0.58181415193661","2.90352967252175","42.9822131102122","129469"
"242","06037800328","06","California","037","800328","Calabasas Landfill","Landfill","Groundwater","2019","-118.712053","34.147549","33","2","1126","1126","1306","405","31.010719754977","68.989280245023","0","0","15.7733537519142","0","0.765696784073507","3.13935681470138","11.3323124042879","173125"
"243","06073013317","06","California","073","013317","Otay Class 1 Landfill","Landfill","Groundwater","2019","-117.012741","32.605733","38","2","1128","1128","18047","15507","85.9256386102953","14.0743613897047","6.49969524020613","0","32.9583864354186","0","0.58181415193661","2.90352967252175","42.9822131102122","129469"
"244","06073009504","06","California","073","009504","Sycamore Canyon Landfill","Landfill","Groundwater","2019","-117.030204","32.856071","170","53","1155","1155","6428","3032","47.1686372121966","52.8313627878034","2.45799626633479","0","22.8842563783447","0","0.311138767890479","5.94275046670815","15.5724953329185","250001"
"245","06081605400","06","California","081","605400","Burlingame Landfill (Sports Complex)","Landfill","Groundwater","2019","-122.359429","37.59007","480","92","1396","1396","6557","2923","44.578313253012","55.421686746988","0","0.122007015403386","22.0985206649382","0.305017538508464","1.46408418484063","2.79091047735245","17.7977733719689","166972"
"246","06033000702","06","California","033","000702","Eastlake Landfill","Landfill","Groundwater","2019","-122.601741","38.95393","240","18","1493","1493","4586","2785","60.7283035324902","39.2716964675098","0.872219799389446","0.261665939816834","0","0","0","6.99956389010031","52.5948539031836","37765"
"247","06081600100","06","California","081","600100","Brisbane Class II Landfill","Landfill","Groundwater","2019","-122.396967","37.69632","130","330","1568","1568","5295","3222","60.8498583569405","39.1501416430595","0.0188857412653447","0","36.7705382436261","0.28328611898017","0.339943342776204","6.66666666666667","16.7705382436261","156310"
"248","06059063500","06","California","059","063500","Newport Plating","Superfund Site","Groundwater","2019","-117.928722","33.613901","170","1100","1663","1663","5499","1190","21.6402982360429","78.3597017639571","0","0","1.36388434260775","0","0","2.89143480632842","17.3849790871067","143381"
"249","06073022101","06","California","073","022101","Palomar Airport Landfill","Landfill","Groundwater","2019","-117.273322","33.127106","110","180","1807","1807","2514","742","29.5147175815434","70.4852824184566","1.43198090692124","0","5.44948289578361","3.38106603023071","0","15.115354017502","4.13683373110581","190469"
"250","06097151100","06","California","097","151100","Sonoma County Central Solid Waste Disposal Service","Landfill","Groundwater","2019","-122.745544","38.29526","260","17","1831","1831","4897","1361","27.7925260363488","72.2074739636512","1.28650193996324","0","1.18439861139473","0","0","5.00306309985706","20.3185623851338","127713"
