"tract_geoid","state_fips","county_fips","tract_code","total_population","total_population_moe","race_ethnicity_total","white_non_hispanic","black_non_hispanic","aian_non_hispanic","asian_non_hispanic","nhpi_non_hispanic","other_race_non_hispanic","multiracial_non_hispanic","hispanic_or_latino","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","asian_non_hispanic_pct","hispanic_or_latino_pct","median_household_income","median_household_income_moe","reported_pfas_observation_count","primary_pfas_average","pfoa_observation_count","station_count","primary_pfas_observation_count","pfos_observation_count","measurement_record_count","pfoa_average","total_pfas_average","reported_pfas_average","pfos_average","total_pfas_observation_count","primary_pfas_measure"
"06001402600","06","001","402600","1192","261","1192","219","393","0","472","0","0","94","14","973","81.6275167785235","18.3724832214765","32.9697986577181","39.5973154362416","1.1744966442953","47940","2816","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001402700","06","001","402700","1637","290","1637","421","684","0","152","0","52","120","208","1216","74.282223579719","25.717776420281","41.7837507635919","9.28527794746488","12.7061698228467","88958","72785","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001402801","06","001","402801","2891","556","2891","643","1227","0","617","0","12","140","252","2248","77.7585610515393","22.2414389484607","42.4420615703909","21.3420961604981","8.71670702179177","50469","32535","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001402802","06","001","402802","1602","236","1602","396","655","0","325","11","10","78","127","1206","75.2808988764045","24.7191011235955","40.8863920099875","20.2871410736579","7.92759051186018","19981","6393","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001402900","06","001","402900","2431","345","2431","629","603","0","692","0","73","210","224","1802","74.1258741258741","25.8741258741259","24.8046071575483","28.4656519950638","9.21431509666804","66050","11193","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403000","06","001","403000","3387","504","3387","433","320","2","2178","48","22","239","145","2954","87.2158252140537","12.7841747859463","9.4478889873044","64.3046944198406","4.28107469737231","58794","16880","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403100","06","001","403100","2251","310","2251","680","514","0","733","0","0","41","283","1571","69.7912039093736","30.2087960906264","22.8342958685029","32.5633051976899","12.5721901377166","139375","53763","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403301","06","001","403301","1900","310","1900","106","112","53","1372","0","132","91","34","1794","94.4210526315789","5.57894736842105","5.89473684210526","72.2105263157895","1.78947368421053","40720","9578","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403302","06","001","403302","2819","316","2819","995","121","0","691","0","83","619","310","1824","64.7037956722242","35.2962043277758","4.29230223483505","24.5122383824051","10.996807378503","144813","11881","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403401","06","001","403401","2724","356","2724","1188","443","0","611","0","0","274","208","1536","56.3876651982379","43.6123348017621","16.2628487518355","22.4302496328928","7.63582966226138","70472","16002","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403402","06","001","403402","998","193","998","339","291","0","76","0","0","54","238","659","66.0320641282565","33.9679358717435","29.1583166332665","7.61523046092184","23.8476953907816","103362","8199","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403501","06","001","403501","6063","704","6063","2329","1090","17","1528","0","44","417","638","3734","61.5866732640607","38.4133267359393","17.9778987300016","25.2020451921491","10.5228434768267","127997","15979","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403502","06","001","403502","2052","334","2052","922","406","0","215","13","0","198","298","1130","55.0682261208577","44.9317738791423","19.7855750487329","10.4775828460039","14.5224171539961","115000","24417","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403600","06","001","403600","4839","650","4839","1762","992","49","480","38","99","566","853","3077","63.5875180822484","36.4124819177516","20.5001033271337","9.91940483570986","17.6276090101261","103459","7764","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403701","06","001","403701","2602","365","2602","1183","451","0","518","0","71","144","235","1419","54.5349730976172","45.4650269023828","17.3328209069946","19.9077632590315","9.0315142198309","94366","12107","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403702","06","001","403702","2198","247","2198","1189","243","0","219","0","7","231","309","1009","45.9053685168335","54.0946314831665","11.0555050045496","9.96360327570519","14.0582347588717","117470","12126","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403800","06","001","403800","4056","470","4056","2475","353","5","490","0","8","365","360","1581","38.9792899408284","61.0207100591716","8.70315581854043","12.0808678500986","8.87573964497041","159917","18905","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001403900","06","001","403900","3767","732","3767","2351","272","15","459","0","0","147","523","1416","37.589593841253","62.410406158747","7.22059994690735","12.1847624104062","13.8837271037961","107219","44605","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404000","06","001","404000","2847","367","2847","1433","545","0","254","5","0","189","421","1414","49.6663154197401","50.3336845802599","19.1429574991219","8.92167193537056","14.7874956094134","92500","16566","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404101","06","001","404101","3267","352","3267","2180","238","10","269","0","56","209","305","1087","33.2721150902969","66.7278849097031","7.28497092133456","8.23385368839914","9.33578206305479","125729","21794","0",,"0","0","0","0","0",,,,,"0","PFOA"
